gene_name,padj_original,padj_new,log2FoldChange_original,log2FoldChange_new,direction_match
SPARCL1,0.0,7.991377199412549e-102,-4.7,-4.599243257947079,True
STOM,0.015,2.501480533454686e-59,-1.41,-1.429066841447303,True
PER1,3.6e-12,3.4815035601922468e-53,-3.2,-3.200999810092176,True
PHC2,0.0011,2.976088588192881e-50,-1.46,-1.3885885342164492,True
MT2A,2.6e-09,7.832689524448509e-46,-2.23,-2.202022626820728,True
DUSP1,0.0,1.4141357485132078e-45,-2.99,-2.9484971168670917,True
MAOA,0.0,1.8745834603776729e-44,-3.29,-3.3024537161492904,True
ZBTB16,5.2e-07,3.2694588017642574e-44,-7.56,-7.159699776105306,True
KCTD12,1.1e-11,3.8289190187556565e-41,2.52,2.50136537415248,True
SAMHD1,0.0,3.6635655021548566e-40,-3.83,-3.855719853173392,True
NEXN,1.2e-06,9.10394229032089e-39,-2.02,-2.028925316716374,True
SLC6A9,0.0064,1.004600346672448e-38,2.26,2.226623828152652,True
FKBP5,0.0,1.452569391501914e-37,-3.95,-3.938280589657279,True
DNAJB4,0.0003,1.3901890934087253e-33,-1.53,-1.509041276980714,True
NNMT,5.1e-08,4.441251121729629e-31,-2.2,-2.1612723966539487,True
FAM171B,0.0057,1.188829051210295e-28,1.36,1.3538807106694748,True
CCDC69,0.0,3.18325000932881e-28,-2.92,-2.898063431800159,True
GLUL,5.8e-08,4.703563788038429e-26,-2.98,-3.000587764736872,True
MT1X,0.00019,6.985622100003798e-26,-3.15,-3.107645295141697,True
VCAM1,2e-05,8.045172749566695e-26,3.58,3.6133801195162696,True
STEAP1,0.00013,8.147181767214635e-26,-1.56,-1.5547407416269283,True
KLF15,0.0,1.3647862963421789e-25,-4.58,-4.569938002543277,True
ARMC8,0.023,1.585696104083783e-25,-1.31,-1.3631898130557447,True
FGD4,3.6e-08,1.6760618714366654e-25,-2.23,-2.2491909367595686,True
PNPLA2,0.025,1.7467338760658455e-25,-1.08,-1.07726009610744,True
PHF17,0.023,3.694660765681725e-25,-1.21,-1.2101767238235035,True
CACNB2,1.1e-06,8.713513755235551e-25,-3.36,-3.320591193235753,True
RAP2B,0.011,2.7186016102906945e-24,1.33,1.2735525182279024,True
ERRFI1,1.1e-10,3.847913221600434e-24,-2.43,-2.438941144203264,True
TIMP4,0.00014,7.53604752027251e-24,-2.85,-2.963214582581386,True
TSLP,0.00051,7.53604752027251e-24,2.88,2.8009047170460044,True
NEK10,0.023,8.114560316091329e-24,2.63,2.4622895312257307,True
PHLDA1,0.023,7.976200262806354e-23,1.1,1.051974278003909,True
TMEM119,0.011,8.347381170060791e-23,1.17,1.1717910201984627,True
CRISPLD2,6.9e-13,1.7992518217161406e-22,-2.7,-2.698418358373944,True
KLF9,9.1e-08,4.753692707026413e-22,-2.08,-2.108139862842713,True
IRS2,1.7e-08,5.855437430593527e-22,-2.17,-2.1659181532196943,True
APBB2,0.048,7.224501059965299e-22,-1.09,-1.0813181437117347,True
FAM46B,0.029,2.114124845634486e-21,-2.32,-2.324667288430541,True
IMPA2,3.8e-07,3.062160021935796e-21,-2.43,-2.33850241840605,True
TCEAL4,0.00061,5.361807888215825e-21,-1.53,-1.5469492021301208,True
GPX3,0.0,9.544398836394962e-21,-3.76,-3.7419699275048823,True
GXYLT2,0.0072,1.8977090241286262e-20,1.58,1.5724586342103868,True
TMEM200A,0.021,1.0532992968220544e-19,1.22,1.2160731628863597,True
SLC6A6,0.024,3.0782152319325976e-19,2.04,2.1130357090093854,True
WASF3,0.026,4.283111089702651e-19,-1.1,-1.1001302508437154,True
HIGD1A,0.0088,7.50183145486956e-19,-1.24,-1.2077115050774512,True
TSC22D3,2.5e-13,1.759554491375945e-18,-3.27,-3.3343604776830413,True
TRIM45,0.029,2.1351576922070376e-18,1.96,1.961127680733802,True
HPS5,0.002,2.4127597838404665e-18,-1.56,-1.5868299355138171,True
SOX4,5.1e-09,2.527427581538407e-18,2.41,2.3583051032845224,True
CEBPD,0.00048,5.8379491979320924e-18,-1.47,-1.4961984309303809,True
C14orf132,0.02,1.0233875806042076e-17,1.13,1.1450813446542454,True
ZHX3,0.017,1.498140335590188e-17,-1.14,-1.1490322864200748,True
DCXR,1.7e-06,1.5896763809487225e-17,-2.36,-2.1497581613253094,True
ACSL1,9.9e-05,1.949607208368665e-17,-1.61,-1.5974432198719537,True
ADAMTS1,4.1e-05,2.7068109276657207e-17,-2.31,-2.2942455738152545,True
ANXA4,0.013,3.548921097598026e-17,-1.2,-1.190792175376895,True
TBX18,4.2e-06,3.912684877566921e-17,1.83,1.8051685317729116,True
METTL7A,6.9e-09,5.232916823276255e-17,-2.26,-2.322124676212733,True
FOXO3,0.0075,6.403550148846291e-17,-1.27,-1.2941645862837323,True
FZD8,0.0052,1.4524937484088755e-16,-2.42,-2.438437097868049,True
TRPC6,5.2e-05,2.1297903610405875e-16,-1.94,-1.9595525044722664,True
CREB5,0.00015,3.193511901013111e-16,2.01,2.00504549925864,True
FAM46A,0.043,1.0450872947669217e-15,1.22,1.190106798014417,True
FOXO1,5.9e-07,1.4091259857914577e-15,-2.3,-2.287419521261876,True
RPS6KA5,0.019,1.7955193461156593e-15,2.55,2.4562205561506225,True
AP1M1,0.029,1.7955193461156593e-15,-1.09,-1.0858935413187534,True
CRABP2,0.00017,1.8854863383879312e-15,1.62,1.6755958353107994,True
MT1E,0.00043,2.619230463149195e-15,-2.21,-2.1605272510629674,True
TGFBR2,0.0072,3.4109148266544456e-15,-1.47,-1.4532719378546113,True
SORT1,9.9e-07,1.0632196073149147e-14,-2.21,-2.222531424824204,True
CORO6,1.9e-07,2.3631032544032963e-14,-2.44,-2.361052916157349,True
TRNP1,2e-06,3.5647593736826563e-14,-1.99,-1.9645509678384712,True
SAMD4A,0.019,4.163113348346817e-14,-1.21,-1.2056624604086164,True
GADD45B,0.019,4.609340628355677e-14,-1.44,-1.4543876037986156,True
MYADM,0.0045,6.667212076878753e-14,-1.51,-1.4904534226636452,True
SLC7A6,0.0066,1.0422179729841213e-13,-1.37,-1.4430922385287968,True
RND2,0.0018,1.2251465886630004e-13,2.27,2.374104235334095,True
SLC7A14,8.9e-06,1.2522373175502497e-13,2.98,2.886158235935901,True
LHFPL2,0.0062,1.2760184256528764e-13,1.24,1.2461338011371643,True
PRSS35,0.00083,2.0775798056854985e-13,2.85,2.7332753268439416,True
SAT1,0.00095,2.0790985821803265e-13,-1.44,-1.320434311152554,True
TJP2,7e-06,2.8795721220213614e-13,-1.99,-1.963836239960347,True
ADAMTS14,2.1e-05,3.4812599070020493e-13,2.38,2.410071365103391,True
ENDOD1,7e-07,6.071138772212587e-13,-1.96,-1.9619289621703424,True
AFAP1L1,0.0012,7.088029311090306e-13,-1.72,-1.696426466668012,True
NOV,2.1e-06,1.0070783251218452e-12,2.6,2.5799587239768424,True
TXNRD1,0.048,1.2698368001945497e-12,-1.52,-1.5443423071917,True
KCNK6,5.6e-08,1.4482776677023192e-12,-2.83,-2.804566311959879,True
NCKAP5,0.021,1.632376229491414e-12,2.26,2.2066254545467703,True
ADRA1B,3.1e-07,1.882616424693905e-12,-3.93,-3.6789690915897855,True
PER3,0.00074,2.9449994066739397e-12,2.32,2.23579433092883,True
LDB2,0.019,3.784562647809448e-12,1.28,1.3303860597066892,True
RTKN2,0.031,6.038993500350807e-12,2.08,1.8986218671970252,True
PRODH,0.0015,7.164352207651514e-12,-6.18,-5.392204778079373,True
SAP30,0.033,9.11496753352145e-12,-1.36,-1.230848352012923,True
FAM46C,0.0096,1.4360291328104795e-11,2.54,2.4653044214432667,True
MARCKS,0.0097,1.8412106356194885e-11,1.24,1.181437597567088,True
CHST7,0.0065,2.0212678388200348e-11,-1.51,-1.5452208999710566,True
NUAK1,0.023,2.568622539873341e-11,-1.36,-1.370095578573694,True
TEX2,0.00053,3.6218591326170925e-11,-1.49,-1.5083587322223238,True
SUN2,3.1e-06,6.57013418321552e-11,-1.96,-1.9042214118586325,True
KLF6,0.025,7.165789798156229e-11,-1.1,-1.106390573241958,True
LIF,0.0029,7.396586332482472e-11,2.41,2.484322734779314,True
MMD,9.3e-05,7.904341193505925e-11,-1.62,-1.6416892958316485,True
PGBD5,0.0036,9.66473608032198e-11,2.59,2.476290171167438,True
C4orf46,0.0069,1.9708994723657016e-10,1.44,1.38237919693165,True
LMCD1,8.6e-05,2.021120898504245e-10,-1.63,-1.5928662287459958,True
CIT,0.03,2.4188208740546907e-10,1.52,1.5813936795445935,True
MAFF,0.022,2.7731129594906736e-10,-1.3,-1.2922786023998147,True
FLRT3,0.028,2.8388624686073737e-10,2.36,2.36588305288374,True
NCOA3,0.0069,2.9588733766747727e-10,-1.39,-1.4047969711180874,True
RHOB,0.01,4.70637807109976e-10,-1.2,-1.1961560498533932,True
SMARCD2,0.0036,5.836507826157796e-10,-1.3,-1.2742208177721726,True
CORIN,0.019,6.10044989718865e-10,-1.97,-1.9723129317753745,True
GPR68,0.0062,7.252565814889091e-10,3.18,2.950329986409819,True
SYNPO2,0.015,1.03906911699896e-09,-1.77,-1.7224648377139422,True
PTX3,4.8e-06,1.2572335611109492e-09,-2.22,-2.2173642778900304,True
AMOT,0.0036,1.298080999766731e-09,2.22,2.3057050487259003,True
NAMPT,0.022,1.3235379651009134e-09,-1.11,-1.0441827546424889,True
REV3L,0.045,1.5703275386362262e-09,-1.13,-1.1211763959569814,True
FER1L6,9.1e-06,1.915212748762838e-09,3.2,3.1223575946215623,True
STARD7,0.011,2.059500379835258e-09,-1.23,-1.2682053411087093,True
NYNRIN,0.024,2.0680520312285943e-09,1.11,1.1647526811760474,True
NKD1,0.0012,2.3685705667529547e-09,-2.48,-2.496588015431886,True
COL7A1,0.0078,2.7458259352777722e-09,-1.23,-1.2274391622695953,True
ADAM12,0.00054,3.2940165050789877e-09,1.81,1.8359401543494325,True
NR4A3,0.0019,3.558988890526717e-09,-2.22,-2.116736730252565,True
PXDC1,0.0017,3.691612681522053e-09,-1.39,-1.3813948489975525,True
SSH2,0.0062,3.917267586467983e-09,-1.25,-1.2185256501212771,True
AQP3,0.00054,4.227338163486004e-09,2.91,2.9777891864310257,True
AASS,0.026,4.409767110142354e-09,-1.13,-1.103823488328645,True
CLDN11,1.9e-05,5.009975235540326e-09,1.76,1.7183723230538763,True
ZCCHC6,0.018,5.9035081919312955e-09,-1.15,-1.1219460439852331,True
MOB3B,0.0072,7.670419624000285e-09,-2.87,-2.792798849590709,True
CALCOCO2,0.016,8.547691613674676e-09,-1.15,-1.1507714506629407,True
PPP1R14A,7.1e-06,8.547691613674676e-09,-3.13,-2.829567700363359,True
STON1,0.0065,1.1297283092039796e-08,-1.36,-1.4254662988541935,True
GDF15,0.00047,1.2140121483300946e-08,1.9,1.856391849424908,True
KLF5,0.0012,1.2335850258791912e-08,-2.59,-2.584596431591796,True
DAAM2,0.00051,1.5494648991878865e-08,-1.7,-1.6471332418478213,True
PLA2G4A,0.0054,1.6212217032043266e-08,2.56,2.5027974005374776,True
HMGB2,0.02,1.7620417376799393e-08,-1.26,-1.2383574673632345,True
BDKRB2,4.7e-06,2.0259090310630323e-08,1.92,1.9976864796345088,True
SQRDL,0.03,2.0660029358851544e-08,-1.07,-1.0229174672755066,True
GCLM,0.0075,2.1401204572184063e-08,-1.24,-1.2434859571245132,True
ABCA6,0.049,2.4078368747109113e-08,-1.03,-1.0354739062656355,True
FZD5,0.032,2.423831482268461e-08,-2.5,-2.4618485604654787,True
ACSS1,0.00013,2.886305972882393e-08,-1.94,-1.88265782995452,True
SLC16A12,0.0036,3.9475184693986826e-08,-3.88,-4.01858921976517,True
LRRC16A,0.02,5.428099493918246e-08,-1.21,-1.1752503768809694,True
NID1,0.0018,5.527603508841055e-08,-1.56,-1.5544049694517428,True
CITED2,0.0025,5.976662575919237e-08,-1.62,-1.6131476785086245,True
PRKAG2,0.003,6.20548492225783e-08,-1.5,-1.5745436151112353,True
RWDD4,0.043,7.667065010215528e-08,-1.14,-1.084212406478198,True
GRAMD4,0.049,1.0027910646900763e-07,1.19,1.1583717890250202,True
RNF144B,0.0074,1.0605066110302201e-07,-2.15,-2.169260997468059,True
C10orf10,0.0065,1.0803314928770383e-07,-1.65,-1.613332400680212,True
CYTH3,0.008,1.3283432930057998e-07,-1.24,-1.203214320811573,True
VGLL3,0.034,1.346700027950717e-07,-1.26,-1.341371770446761,True
ATF3,0.0022,1.494530597244479e-07,-2.02,-1.9767975671240083,True
FSTL3,3.2e-06,1.494530597244479e-07,-1.89,-1.8173727440245373,True
WARS,0.0097,1.5150236093005497e-07,1.3,1.3243736603415837,True
ABLIM1,0.0069,1.540712907570529e-07,-1.38,-1.406843108676272,True
STEAP4,5.3e-10,1.5717781233984154e-07,-4.99,-5.258184740962754,True
NAV3,1.2e-06,2.515642448466965e-07,-2.25,-2.2506842682164536,True
RASL11A,2.2e-08,2.642464876986484e-07,-2.45,-2.3674052385872093,True
NEDD9,0.0036,2.656672089200289e-07,-1.7,-1.658398840640867,True
ANPEP,0.024,3.052071910300408e-07,-1.12,-1.0822022624697352,True
ALPK3,0.0019,3.71598275174832e-07,-3.14,-3.039254831135312,True
PIK3R1,0.0012,4.190533255841681e-07,-1.58,-1.624112068318061,True
NFIL3,0.0097,4.757054577255594e-07,-1.22,-1.1501473486293772,True
FST,0.00054,5.726130825060652e-07,1.61,1.7828874065649063,True
AIF1L,0.0062,6.31546529888546e-07,2.73,2.707389685343858,True
G0S2,0.034,6.639191830280717e-07,2.75,2.6756864788453454,True
FADS3,0.041,6.998646827686891e-07,-1.05,-1.0011053854259158,True
LGI3,0.018,7.778425666672436e-07,-5.44,-4.878398884029916,True
ING2,0.035,8.17626433493042e-07,-1.35,-1.2942710131487132,True
TUBA1A,0.019,8.986801420889173e-07,1.24,1.2809877249214636,True
GPRC5B,5.8e-06,1.2236157240862075e-06,-1.89,-1.8885952778651376,True
AHCTF1,0.0057,1.2774783454971676e-06,-1.33,-1.2912427444541448,True
CDON,0.0043,1.2774783454971676e-06,1.73,1.6518341624560948,True
SEMA3A,0.043,1.5780015674578309e-06,1.18,1.22329128136808,True
SAMD12,0.044,1.5964498793328012e-06,2.09,2.025477063508243,True
TM4SF1,0.036,1.6504424118473757e-06,-1.11,-1.1674846578024838,True
COL4A1,0.0028,1.8343782763262724e-06,-1.35,-1.3423581728778946,True
INHBB,3.6e-08,1.9481762346544264e-06,-3.53,-3.63556484496768,True
ABHD5,0.014,1.9491729422489542e-06,-1.16,-1.0876353059151846,True
RAPGEF5,0.0025,2.002198627802475e-06,-2.83,-2.7641808069320923,True
BDKRB1,0.0088,2.3006010202632324e-06,1.93,1.8173010517461836,True
TMEM35,0.0004,2.5989684985734886e-06,1.68,1.6445402301548129,True
CYR61,2.1e-05,2.7045087958121563e-06,-1.84,-1.8167701502493616,True
LEP,0.0004,2.917577312083356e-06,-3.17,-3.194639354342453,True
EBF1,0.047,3.386471733651238e-06,-1.09,-1.1228937341825511,True
CD302,0.00041,3.697523589784147e-06,-1.67,-1.7428458805304008,True
CDC42EP3,0.0013,3.8123957280415473e-06,-1.46,-1.5182467599637952,True
SLC39A10,0.017,3.8123957280415473e-06,1.3,1.2240751105603551,True
CDKN2B,0.013,3.854492641537716e-06,1.49,1.488651572547001,True
PHGDH,0.0036,3.977749028560198e-06,1.37,1.434746365197258,True
RSPO1,0.029,4.207805152285708e-06,-1.38,-1.3668762478357068,True
TNFAIP6,0.00015,4.621125743269669e-06,2.49,2.509321725696507,True
LINC00312,0.031,5.202604246409167e-06,-1.84,-1.9949748565269612,True
CLIC2,0.045,5.71571128704599e-06,1.29,1.2246962492162483,True
TSPAN8,0.019,5.8619482443235046e-06,-4.17,-4.382867606433943,True
ADAMTS5,6.4e-07,7.340345320310562e-06,-2.1,-2.126169010967622,True
C1QTNF1,0.016,8.642189000579045e-06,-1.26,-1.2324376132472288,True
PREB,0.02,8.914985916953553e-06,-1.14,-1.118758330856809,True
MXRA5,0.0045,9.272806410384234e-06,1.35,1.3512290198746426,True
FIBIN,0.0083,9.345387305617566e-06,-1.24,-1.2752390513014444,True
HSPB3,0.011,9.535215271379784e-06,-2.53,-2.3651515315889147,True
DUSP5,0.037,1.0515566035340673e-05,-1.31,-1.276651974367009,True
AXIN2,0.048,1.1667548580461609e-05,-1.23,-1.1759243988669663,True
C7,0.0,1.1758867567060836e-05,-3.35,-3.211168419217614,True
HMOX1,0.0036,1.1869681906606711e-05,1.32,1.3361835581699928,True
PDE5A,0.03,1.2551387595112295e-05,1.26,1.16586187834971,True
PKDCC,9.9e-05,1.4026307180359195e-05,-1.66,-1.5395614885922588,True
CPM,0.0097,2.3581236488802045e-05,-1.46,-1.4616351568406358,True
SCD,4.3e-06,2.393309398736574e-05,1.99,1.9981657553332572,True
SIPA1L2,0.0032,2.639359391393058e-05,2.67,2.722255595529773,True
GFPT2,0.0055,2.7838758698130668e-05,-1.34,-1.309722309732148,True
COL4A4,0.0073,3.1261142593654384e-05,-2.0,-1.9695554798419903,True
EPHB3,0.019,3.6882507884149616e-05,1.45,1.4514018142352767,True
WFDC1,0.011,5.2994976553055104e-05,-1.8,-1.7072958851967168,True
TUBB,0.019,5.571708704201332e-05,1.17,1.2708336011058838,True
ZCCHC5,0.011,5.821748341095708e-05,-3.04,-3.029571074650378,True
CD82,0.011,6.130804045243164e-05,-1.22,-1.2620806791113253,True
VEGFA,0.035,6.626123039023481e-05,1.2,1.196252326743575,True
AOX1,0.00047,7.175624829201296e-05,-1.56,-1.4548912514538863,True
DIO2,0.0084,7.606621191047842e-05,-1.47,-1.5571631628362137,True
EPHB2,0.0069,8.137799967048847e-05,1.79,1.7510922205659494,True
KANK1,0.013,8.150827042350689e-05,-1.26,-1.2264888265728648,True
INPP5A,0.0015,8.334382001962266e-05,-1.44,-1.3890883206749989,True
IFIT1,0.017,9.498603683084592e-05,1.74,1.6287698730888056,True
LMOD1,0.028,0.0001273564235184,-1.18,-1.138715541150132,True
TNFRSF11B,0.0016,0.000159406208608,1.55,1.5353636222333362,True
RAB11FIP1,0.0024,0.0001951008664009,-1.55,-1.5444378914001455,True
FAM107A,7e-06,0.000233246804261,-4.67,-4.713608484205485,True
HSD17B6,0.0062,0.0002821960061993,2.24,2.1859148413347014,True
ITGA10,1.2e-07,0.0003554885119963,-3.95,-3.6236766090245296,True
ARHGAP29,0.023,0.0003738253815665,-1.18,-1.201796546336755,True
MICAL2,0.024,0.0004281836655086,-1.22,-1.1147489573489366,True
CILP,0.0055,0.0004519023795042,-1.39,-1.3648851468242122,True
BMPER,0.0096,0.0004532784873191,1.45,1.4648626322645537,True
DDAH1,0.023,0.0005075513969555,-1.28,-1.330857061695559,True
NEGR1,0.0028,0.0005594302700683,-1.4,-1.4691369509281953,True
MEST,0.016,0.0006186620288474,1.86,1.7879934545254224,True
CBS,0.026,0.0006954688386726,-1.3,-1.2461911033968425,True
FAM43A,0.029,0.0007947314556299,-1.21,-1.2345036069213493,True
HSPA2,6.7e-06,0.0011642269003065,-2.53,-2.559422235705917,True
ADARB1,1.2e-06,0.0012172919846225,-2.37,-2.324482581586825,True
ARSI,0.031,0.0012866723566022,1.75,1.65770801742818,True
RASL11B,5.6e-05,0.0015249783061949,-4.03,-3.9958525941708896,True
RHOJ,0.026,0.0016010254786943,1.24,1.1830032462601283,True
SLC14A1,0.0076,0.0019399171305898,4.08,3.8568046725714,True
STK17B,0.045,0.0021732473564345,-1.07,-1.1101246094656243,True
SCN7A,0.013,0.0026990741438925,-1.36,-1.4227360649792702,True
COL11A1,0.00015,0.0030387332464216,-2.36,-2.3826056274904808,True
LBH,0.016,0.003103755427532,-1.47,-1.390699234783965,True
EPHB6,0.0022,0.0031337201178792,-1.39,-1.323851524562898,True
USP53,2.2e-05,0.0036926328034733,-2.16,-2.304682351667028,True
SOX9,0.047,0.0037835153695874,1.22,1.2545270546721787,True
PIEZO2,0.0014,0.0040371437945713,2.69,2.646611377179304,True
DAPK2,0.0076,0.0045223609816876,-1.51,-1.562455792284806,True
WNT2,4.9e-06,0.0063675683287438,3.17,3.116476386692934,True
FBN2,0.0016,0.0065913173763152,-2.15,-2.0740028605853045,True
MTSS1,1.4e-05,0.0074482955459689,-1.94,-1.959333903395674,True
LRRC17,3.8e-06,0.0078507540180576,2.27,2.210238946006329,True
GPM6B,2.8e-05,0.0103072793185816,-2.78,-2.5857215314993973,True
ARHGAP28,0.011,0.0103072793185816,1.48,1.4987175287614496,True
JUN,0.044,0.0106730132559041,1.11,1.080388661756854,True
STC1,1.7e-06,0.010673499937098,-2.42,-2.276861691699578,True
IGDCC4,0.0004,0.0109079776849013,2.2,2.130638126297427,True
ENPP1,0.019,0.0114218556200411,-1.32,-1.3351204038288171,True
TUBB3,0.023,0.011635064844221,1.47,1.1666629704597402,True
DHRS3,0.02,0.0160778091491813,-1.21,-1.1256682979604566,True
CPA4,0.0059,0.0163517432759533,2.37,2.2620240374069214,True
PDPN,0.002,0.017467863011533,-1.84,-1.8862555785145505,True
GCNT4,0.0065,0.0210760732370608,-1.94,-1.958841596090738,True
MAMDC2,3.1e-06,0.0242042455184263,-2.23,-2.2846769417689474,True
APCDD1,0.00027,0.0245547269470247,-1.78,-1.771140631364995,True
ACTG2,0.00033,0.0304693693977169,-1.99,-1.9279480364282968,True
GGT5,0.00033,0.0314731653861983,-2.39,-2.4138244240546185,True
DLL4,0.0062,0.0336835643185105,-3.74,-3.68198095265333,True
PDK4,6.4e-07,0.0343151767886973,-2.59,-2.541170056225047,True
